0      0      1
0      1      0
0      2      3
1      0      3
1      1      2
1      2      7
2      0      3
2      1      4
2      2      1
3      0      2
3      1      3
3      2      0
4      0      8
4      1      4
4      2      3
5      0      7
5      1      15
5      2      8
6      0      6
6      1      7
6      2      2
7      0      11
7      1      12
7      2      18
8      0      5
8      1      4
8      2      8
9      0      72
9      1      68
9      2      58
10      0      41
10      1      57
10      2      58
11      0      88
11      1      89
11      2      72
12      0      28
12      1      41
12      2      42
13      0      26
13      1      29
13      2      41
14      0      19
14      1      29
14      2      26
15      0      19
15      1      18
15      2      29
16      0      15
16      1      19
16      2      26
17      0      15
17      1      7
17      2      11
18      0      12
18      1      20
18      2      18
19      0      18
19      1      20
19      2      30
20      0      15
20      1      10
20      2      8
21      0      17
21      1      28
21      2      27
22      0      11
22      1      6
22      2      12
23      0      15
23      1      11
23      2      19
24      0      7
24      1      6
24      2      11
25      0      29
25      1      44
25      2      41
26      0      45
26      1      31
26      2      39
27      0      44
27      1      45
27      2      60
28      0      30
28      1      31
28      2      45
29      0      18
29      1      30
29      2      29
30      0      20
30      1      31
30      2      30
31      0      28
31      1      26
31      2      41
32      0      27
32      1      28
32      2      42
33      0      17
33      1      26
33      2      28
34      0      16
34      1      17
34      2      27
35      0      16
35      1      10
35      2      17
36      0      3
36      1      7
36      2      8
37      0      19
37      1      11
37      2      18
38      0      53
38      1      45
38      2      39
39      0      92
39      1      75
39      2      91
40      0      61
40      1      48
40      2      59
41      0      35
41      1      47
41      2      49
42      0      34
42      1      33
42      2      47
43      0      74
43      1      90
43      2      91
44      0      48
44      1      46
44      2      59
45      0      49
45      1      47
45      2      62
46      0      34
46      1      22
46      2      33
47      0      58
47      1      42
47      2      41
48      0      68
48      1      56
48      2      58
49      0      82
49      1      83
49      2      69
50      0      72
50      1      82
50      2      68
51      0      89
51      1      97
51      2      82
52      0      73
52      1      59
52      2      69
53      0      59
53      1      46
53      2      43
54      0      48
54      1      47
54      2      33
55      0      46
55      1      48
55      2      33
56      0      61
56      1      47
56      2      48
57      0      32
57      1      27
57      2      43
58      0      61
58      1      62
58      2      47
59      0      73
59      1      61
59      2      59
60      0      74
60      1      62
60      2      61
61      0      21
61      1      27
61      2      32
62      0      13
62      1      9
62      2      16
63      0      81
63      1      67
63      2      80
64      0      89
64      1      88
64      2      104
65      0      44
65      1      57
65      2      41
66      0      96
66      1      88
66      2      81
67      0      68
67      1      69
67      2      56
68      0      89
68      1      82
68      2      72
69      0      82
69      1      97
69      2      83
70      0      10
70      1      5
70      2      8
71      0      26
71      1      17
71      2      15
72      0      9
72      1      5
72      2      10
73      0      44
73      1      30
73      2      45
74      0      55
74      1      60
74      2      53
75      0      55
75      1      67
75      2      60
76      0      40
76      1      55
76      2      53
77      0      66
77      1      67
77      2      55
78      0      17
78      1      10
78      2      15
79      0      21
79      1      16
79      2      27
80      0      9
80      1      10
80      2      16
81      0      55
81      1      54
81      2      66
82      0      63
82      1      77
82      2      64
83      0      51
83      1      63
83      2      64
84      0      75
84      1      62
84      2      74
85      0      76
85      1      75
85      2      92
86      0      76
86      1      62
86      2      75
87      0      93
87      1      76
87      2      92
88      0      78
88      1      63
88      2      76
89      0      92
89      1      109
89      2      93
90      0      106
90      1      108
90      2      91
91      0      106
91      1      120
91      2      108
92      0      109
92      1      110
92      2      93
93      0      38
93      1      37
93      2      52
94      0      36
94      1      51
94      2      37
95      0      36
95      1      37
95      2      25
96      0      51
96      1      64
96      2      52
97      0      37
97      1      51
97      2      52
98      0      50
98      1      49
98      2      63
99      0      36
99      1      50
99      2      51
100      0      36
100      1      35
100      2      50
101      0      24
101      1      35
101      2      25
102      0      35
102      1      49
102      2      50
103      0      34
103      1      24
103      2      23
104      0      34
104      1      35
104      2      24
105      0      22
105      1      34
105      2      23
106      0      14
106      1      22
106      2      23
107      0      32
107      1      46
107      2      33
108      0      22
108      1      32
108      2      33
109      0      74
109      1      91
109      2      75
110      0      106
110      1      91
110      2      90
111      0      62
111      1      63
111      2      49
112      0      108
112      1      92
112      2      91
113      0      93
113      1      78
113      2      76
114      0      78
114      1      77
114      2      63
115      0      62
115      1      76
115      2      63
116      0      93
116      1      94
116      2      78
117      0      36
117      1      25
117      2      35
118      0      51
118      1      50
118      2      63
119      0      43
119      1      27
119      2      42
120      0      56
120      1      43
120      2      42
121      0      46
121      1      32
121      2      43
122      0      35
122      1      34
122      2      47
123      0      22
123      1      14
123      2      21
124      0      21
124      1      32
124      2      22
125      0      13
125      1      21
125      2      14
126      0      13
126      1      16
126      2      21
127      0      94
127      1      77
127      2      78
128      0      117
128      1      111
128      2      124
129      0      119
129      1      117
129      2      124
130      0      104
130      1      96
130      2      102
131      0      71
131      1      67
131      2      81
132      0      29
132      1      30
132      2      44
133      0      55
133      1      40
133      2      54
134      0      45
134      1      53
134      2      60
135      0      39
135      1      40
135      2      53
136      0      102
136      1      111
136      2      117
137      0      104
137      1      102
137      2      117
138      0      96
138      1      87
138      2      102
139      0      102
139      1      87
139      2      95
140      0      88
140      1      96
140      2      104
141      0      81
141      1      80
141      2      96
142      0      66
142      1      80
142      2      67
143      0      66
143      1      79
143      2      80
144      0      79
144      1      65
144      2      70
145      0      65
145      1      66
145      2      54
146      0      79
146      1      70
146      2      84
147      0      79
147      1      87
147      2      80
148      0      65
148      1      79
148      2      66
149      0      84
149      1      95
149      2      79
150      0      86
150      1      101
150      2      98
151      0      99
151      1      114
151      2      111
152      0      85
152      1      86
152      2      98
153      0      113
153      1      114
153      2      99
154      0      110
154      1      94
154      2      93
155      0      123
155      1      110
155      2      109
156      0      98
156      1      99
156      2      84
157      0      85
157      1      98
157      2      84
158      0      101
158      1      113
158      2      98
159      0      61
159      1      73
159      2      74
160      0      43
160      1      56
160      2      59
161      0      83
161      1      97
161      2      90
162      0      69
162      1      83
162      2      73
163      0      69
163      1      68
163      2      82
164      0      57
164      1      44
164      2      60
165      0      67
165      1      71
165      2      60
166      0      72
166      1      58
166      2      57
167      0      88
167      1      72
167      2      71
168      0      56
168      1      42
168      2      58
169      0      104
169      1      119
169      2      105
170      0      80
170      1      87
170      2      96
171      0      105
171      1      112
171      2      97
172      0      114
172      1      126
172      2      127
173      0      121
173      1      120
173      2      106
174      0      90
174      1      107
174      2      106
175      0      146
175      1      137
175      2      145
176      0      120
176      1      133
176      2      135
177      0      125
177      1      137
177      2      133
178      0      109
178      1      108
178      2      122
179      0      133
179      1      120
179      2      121
180      0      148
180      1      135
180      2      149
181      0      134
181      1      120
181      2      135
182      0      122
182      1      120
182      2      134
183      0      136
183      1      122
183      2      134
184      0      123
184      1      109
184      2      122
185      0      85
185      1      84
185      2      70
186      0      124
186      1      132
186      2      119
187      0      150
187      1      158
187      2      145
188      0      138
188      1      150
188      2      139
189      0      155
189      1      158
189      2      150
190      0      154
190      1      155
190      2      143
191      0      142
191      1      154
191      2      143
192      0      165
192      1      166
192      2      154
193      0      165
193      1      177
193      2      166
194      0      157
194      1      161
194      2      149
195      0      146
195      1      157
195      2      149
196      0      135
196      1      146
196      2      149
197      0      133
197      1      137
197      2      146
198      0      158
198      1      169
198      2      157
199      0      138
199      1      143
199      2      150
200      0      178
200      1      183
200      2      169
201      0      71
201      1      81
201      2      88
202      0      57
202      1      71
202      2      72
203      0      57
203      1      60
203      2      71
204      0      122
204      1      136
204      2      123
205      0      108
205      1      120
205      2      122
206      0      109
206      1      92
206      2      108
207      0      112
207      1      119
207      2      125
208      0      121
208      1      112
208      2      125
209      0      107
209      1      97
209      2      112
210      0      148
210      1      147
210      2      134
211      0      135
211      1      133
211      2      146
212      0      160
212      1      159
212      2      148
213      0      149
213      1      160
213      2      148
214      0      161
214      1      172
214      2      171
215      0      103
215      1      101
215      2      100
216      0      98
216      1      113
216      2      99
217      0      100
217      1      101
217      2      86
218      0      103
218      1      116
218      2      101
219      0      115
219      1      103
219      2      100
220      0      118
220      1      129
220      2      116
221      0      99
221      1      95
221      2      84
222      0      147
222      1      136
222      2      134
223      0      118
223      1      103
223      2      115
224      0      128
224      1      118
224      2      115
225      0      116
225      1      130
225      2      126
226      0      118
226      1      116
226      2      103
227      0      129
227      1      130
227      2      116
228      0      118
228      1      128
228      2      131
229      0      129
229      1      142
229      2      130
230      0      113
230      1      101
230      2      116
231      0      131
231      1      144
231      2      141
232      0      140
232      1      131
232      2      128
233      0      141
233      1      142
233      2      129
234      0      131
234      1      141
234      2      129
235      0      152
235      1      163
235      2      153
236      0      159
236      1      160
236      2      170
237      0      159
237      1      147
237      2      148
238      0      151
238      1      144
238      2      140
239      0      171
239      1      172
239      2      184
240      0      170
240      1      171
240      2      184
241      0      160
241      1      161
241      2      171
242      0      156
242      1      144
242      2      151
243      0      184
243      1      185
243      2      170
244      0      160
244      1      171
244      2      170
245      0      157
245      1      169
245      2      161
246      0      180
246      1      186
246      2      172
247      0      169
247      1      180
247      2      172
248      0      169
248      1      183
248      2      180
249      0      186
249      1      199
249      2      198
250      0      172
250      1      186
250      2      184
251      0      183
251      1      196
251      2      186
252      0      188
252      1      177
252      2      174
253      0      201
253      1      188
253      2      202
254      0      201
254      1      191
254      2      188
255      0      198
255      1      211
255      2      197
256      0      209
256      1      212
256      2      199
257      0      209
257      1      224
257      2      212
258      0      156
258      1      151
258      2      162
259      0      173
259      1      187
259      2      179
260      0      144
260      1      131
260      2      140
261      0      152
261      1      144
261      2      156
262      0      152
262      1      141
262      2      144
263      0      173
263      1      181
263      2      187
264      0      131
264      1      129
264      2      118
265      0      155
265      1      166
265      2      167
266      0      166
266      1      177
266      2      178
267      0      167
267      1      166
267      2      178
268      0      155
268      1      154
268      2      166
269      0      141
269      1      152
269      2      153
270      0      174
270      1      177
270      2      165
271      0      175
271      1      190
271      2      189
272      0      164
272      1      175
272      2      163
273      0      164
273      1      176
273      2      175
274      0      156
274      1      164
274      2      152
275      0      156
275      1      168
275      2      164
276      0      189
276      1      203
276      2      202
277      0      175
277      1      189
277      2      174
278      0      190
278      1      203
278      2      189
279      0      163
279      1      175
279      2      174
280      0      208
280      1      213
280      2      220
281      0      195
281      1      204
281      2      207
282      0      192
282      1      187
282      2      200
283      0      196
283      1      199
283      2      186
284      0      178
284      1      191
284      2      183
285      0      210
285      1      223
285      2      224
286      0      196
286      1      210
286      2      209
287      0      201
287      1      215
287      2      210
288      0      191
288      1      201
288      2      196
289      0      202
289      1      216
289      2      215
290      0      121
290      1      125
290      2      133
291      0      107
291      1      112
291      2      121
292      0      106
292      1      107
292      2      121
293      0      105
293      1      89
293      2      104
294      0      112
294      1      105
294      2      119
295      0      97
295      1      89
295      2      105
296      0      90
296      1      97
296      2      107
297      0      69
297      1      59
297      2      56
298      0      90
298      1      73
298      2      83
299      0      90
299      1      74
299      2      73
300      0      119
300      1      132
300      2      125
301      0      132
301      1      139
301      2      145
302      0      125
302      1      132
302      2      137
303      0      127
303      1      138
303      2      139
304      0      124
304      1      127
304      2      132
305      0      124
305      1      114
305      2      127
306      0      104
306      1      117
306      2      119
307      0      111
307      1      114
307      2      124
308      0      95
308      1      99
308      2      111
309      0      102
309      1      95
309      2      111
310      0      87
310      1      79
310      2      95
311      0      127
311      1      139
311      2      132
312      0      126
312      1      138
312      2      127
313      0      130
313      1      143
313      2      138
314      0      126
314      1      130
314      2      138
315      0      113
315      1      126
315      2      114
316      0      113
316      1      116
316      2      126
317      0      143
317      1      155
317      2      150
318      0      142
318      1      143
318      2      130
319      0      153
319      1      163
319      2      165
320      0      142
320      1      153
320      2      154
321      0      142
321      1      141
321      2      153
322      0      135
322      1      148
322      2      134
323      0      145
323      1      157
323      2      146
324      0      132
324      1      145
324      2      137
325      0      139
325      1      150
325      2      145
326      0      161
326      1      160
326      2      149
327      0      197
327      1      185
327      2      184
328      0      145
328      1      158
328      2      157
329      0      163
329      1      174
329      2      165
330      0      154
330      1      153
330      2      165
331      0      152
331      1      164
331      2      163
332      0      169
332      1      172
332      2      161
333      0      167
333      1      169
333      2      158
334      0      155
334      1      167
334      2      158
335      0      178
335      1      169
335      2      167
336      0      183
336      1      186
336      2      180
337      0      191
337      1      196
337      2      183
338      0      177
338      1      191
338      2      178
339      0      177
339      1      188
339      2      191
340      0      198
340      1      197
340      2      184
341      0      186
341      1      198
341      2      184
342      0      199
342      1      212
342      2      198
343      0      187
343      1      181
343      2      193
344      0      192
344      1      204
344      2      195
345      0      179
345      1      192
345      2      182
346      0      200
346      1      204
346      2      192
347      0      205
347      1      200
347      2      193
348      0      214
348      1      213
348      2      200
349      0      179
349      1      168
349      2      173
350      0      192
350      1      179
350      2      187
351      0      182
351      1      176
351      2      179
352      0      198
352      1      212
352      2      211
353      0      196
353      1      209
353      2      199
354      0      200
354      1      187
354      2      193
355      0      188
355      1      174
355      2      189
356      0      168
356      1      162
356      2      173
357      0      176
357      1      168
357      2      179
358      0      156
358      1      162
358      2      168
359      0      263
359      1      269
359      2      275
360      0      229
360      1      231
360      2      243
361      0      215
361      1      229
361      2      223
362      0      210
362      1      215
362      2      223
363      0      201
363      1      202
363      2      215
364      0      216
364      1      207
364      2      208
365      0      215
365      1      216
365      2      229
366      0      202
366      1      203
366      2      216
367      0      258
367      1      269
367      2      263
368      0      246
368      1      258
368      2      256
369      0      245
369      1      246
369      2      256
370      0      243
370      1      245
370      2      256
371      0      231
371      1      232
371      2      245
372      0      242
372      1      254
372      2      255
373      0      255
373      1      267
373      2      269
374      0      258
374      1      255
374      2      269
375      0      246
375      1      242
375      2      255
376      0      277
376      1      265
376      2      275
377      0      196
377      1      201
377      2      210
378      0      176
378      1      182
378      2      190
379      0      175
379      1      176
379      2      190
380      0      164
380      1      168
380      2      176
381      0      214
381      1      222
381      2      227
382      0      204
382      1      200
382      2      213
383      0      205
383      1      206
383      2      217
384      0      193
384      1      181
384      2      194
385      0      206
385      1      205
385      2      194
386      0      238
386      1      243
386      2      250
387      0      208
387      1      220
387      2      219
388      0      216
388      1      208
388      2      219
389      0      207
389      1      204
389      2      208
390      0      232
390      1      242
390      2      246
391      0      229
391      1      219
391      2      231
392      0      228
392      1      242
392      2      232
393      0      220
393      1      213
393      2      228
394      0      219
394      1      220
394      2      232
395      0      231
395      1      219
395      2      232
396      0      229
396      1      216
396      2      219
397      0      208
397      1      204
397      2      213
398      0      213
398      1      214
398      2      227
399      0      225
399      1      212
399      2      226
400      0      224
400      1      209
400      2      210
401      0      236
401      1      224
401      2      223
402      0      229
402      1      236
402      2      223
403      0      238
403      1      224
403      2      236
404      0      229
404      1      243
404      2      236
405      0      250
405      1      240
405      2      238
406      0      226
406      1      212
406      2      224
407      0      239
407      1      226
407      2      240
408      0      225
408      1      211
408      2      212
409      0      230
409      1      218
409      2      221
410      0      214
